Rank,Temperature,Category1,Category2,Name,Short Name,Size,Calories,Calories_Modified,Sugars (g),Image,Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Protein (g),Caffeine (mg)
34,Cold,Cold Coffees,Cold Brews,Cold Brew Coffee,,Grande,5,0,0,https://globalassets.starbucks.com/assets/83617bbfa2264197b745a1c2db04fa92.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Cold Brew Coffee with Milk,,Grande,35,35,3,https://globalassets.starbucks.com/assets/de574746527d4960a7d838f271e3491c.jpg,,,,,,,,,
28,Cold,Cold Coffees,Cold Brews,Cold Brew with Salted Cream Cold Foam,,Grande,230,230,23,https://globalassets.starbucks.com/assets/6ffca0a4b4ec4af98d07c4e860baca45.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Cold Brew with Salted Honey Cold Foam,,Grande,40,40,7,https://globalassets.starbucks.com/assets/1f3d15ed2b534aaab4cbc8fbf2b8cccb.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew,,Grande,5,42.5,0,https://globalassets.starbucks.com/assets/85ae42ce9eb5423d83c4410f7b561882.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew with Salted Cream Cold Foam,,Grande,230,45,23,https://globalassets.starbucks.com/assets/1791fd99e33248be844d360c90429bcd.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew with Salted Honey Cold Foam,,Grande,40,47.5,7,https://globalassets.starbucks.com/assets/1697f7c55887448684fed85ecdd98e44.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Nitro Cold Brew with Sweet Cream,,Grande,70,70,4,https://globalassets.starbucks.com/assets/31d2824c896147fbaad4a1eac1ab1174.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Reserve® Cold Brew,,Grande,5,72.5,0,https://globalassets.starbucks.com/assets/65fc074f721f41afb23db6981c600ce7.jpg,,,,,,,,,
,Cold,Cold Coffees,Cold Brews,Reserve® Nitro Cold Brew,,Grande,5,75,0,https://globalassets.starbucks.com/assets/55525cd1303a4b18958b05f0705b4cbb.jpg,,,,,,,,,
14,Cold,Cold Coffees,Cold Brews,Vanilla Sweet Cream Cold Brew,,Grande,110,110,14,https://globalassets.starbucks.com/assets/3ee242d417904e7aa8f859fc1b07873c.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Americano,Iced Blonde Caffè Americano,Blonde Caffè Americano,Grande,15,15,0,https://globalassets.starbucks.com/assets/84ede138768e42ebb2e0366c2f09960a.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Americano,Iced Caffè Americano,Caffè Americano,Grande,15,17.5,0,https://globalassets.starbucks.com/assets/84ede138768e42ebb2e0366c2f09960a.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Coffees,Iced Coffee,,Grande,80,80,20,https://globalassets.starbucks.com/assets/2c626225a4804e5abd8e93e7fd59a0a2.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Coffees,Iced Coffee with Milk,,Grande,110,82.5,23,https://globalassets.starbucks.com/assets/cc9b573f8c1b43cd89cdab08ae5b9ec7.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Espresso Shots,Blonde Doubleshot® On Ice,,Grande,,,,https://globalassets.starbucks.com/assets/c8d2c8fa22ee4f4c864dee6dac5a1868.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Espresso Shots,Doubleshot® on Ice,,Grande,100,100,18,https://globalassets.starbucks.com/assets/c8d2c8fa22ee4f4c864dee6dac5a1868.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Espresso Shots,Iced Espresso,Espresso,Doppio,10,10,0,https://globalassets.starbucks.com/assets/6a320073ec4b47e7bb9e6eb9e5e74e96.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Flat Whites,Iced Almondmilk Honey Flat White,Almondmilk Honey Flat White,Grande,140,140,22,https://globalassets.starbucks.com/assets/278a67a4f04948748626b3e0a2582182.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Flat Whites,Iced Almondmilk Honey Flat White with Blonde Espresso,Almondmilk Honey Flat White with Blonde Espresso,Grande,120,120,18,https://globalassets.starbucks.com/assets/278a67a4f04948748626b3e0a2582182.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Flat Whites,Iced Flat White,Flat White,Grande,150,150,11,https://globalassets.starbucks.com/assets/ea360dd2ea0a4ab098fea38fc7e3752c.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Flat Whites,Nitro Flat White,,Grande,230,152.5,17,data/image/nitro-flat-white.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Blonde Caffè Latte,Blonde Caffè Latte,Grande,130,130,11,https://globalassets.starbucks.com/assets/f9ad475efabb455887649f7dd453a90d.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Blonde Smoked Butterscotch Latte,Blonde Smoked Butterscotch Latte,Grande,250,250,29,https://globalassets.starbucks.com/assets/58fe0d40a6be4262bf6b210eab6cd814.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Blonde Vanilla Latte,Blonde Vanilla Latte,Grande,180,180,25,https://globalassets.starbucks.com/assets/5cd1a64f00ed4f7ba5923cfa73a0e323.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Caffè Latte,Caffè Latte,Grande,130,182.5,11,https://globalassets.starbucks.com/assets/f9ad475efabb455887649f7dd453a90d.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Cinnamon Dolce Latte,Cinnamon Dolce Latte,Grande,290,290,36,https://globalassets.starbucks.com/assets/2a7651bc593044ba9043e90ddc20e3f1.jpg,,,,,,,,,
16,Cold,Cold Coffees,Iced Lattes,Iced Coconutmilk Latte,Coconutmilk Latte,Grande,90,90,8,https://globalassets.starbucks.com/assets/85ed6da0c69e456cb0d28dae8dd42fa0.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Coconutmilk Latte with Blonde Espresso,Coconutmilk Latte with Blonde Espresso,Grande,90,92.5,8,https://globalassets.starbucks.com/assets/85ed6da0c69e456cb0d28dae8dd42fa0.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Oatmilk Honey Latte,Oatmilk Honey Latte,Grande,210,210,25,https://globalassets.starbucks.com/assets/941fcbe6faed4a0f86804f10f650c572.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Oatmilk Honey Latte with Blonde Espresso,Oatmilk Honey Latte with Blonde Espresso,Grande,190,190,21,https://globalassets.starbucks.com/assets/941fcbe6faed4a0f86804f10f650c572.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Iced Smoked Butterscotch Latte,Smoked Butterscotch Latte,Grande,290,192.5,35,https://globalassets.starbucks.com/assets/58fe0d40a6be4262bf6b210eab6cd814.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Reserve® Iced Hazelnut Bianco Latte,Reserve® Hazelnut Bianco Latte,Grande,280,280,26,https://globalassets.starbucks.com/assets/1266dd4687e943e0a54c9da9269e95e3.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Lattes,Reserve® Iced Latte,Reserve® Latte,Grande,210,282.5,16,https://globalassets.starbucks.com/assets/607f5c86ac664a35a5b462acfbfe7891.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Macchiatos,Iced Blonde Caramel Cloud Macchiato,Blonde Caramel Cloud Macchiato,Grande,170,170,24,https://globalassets.starbucks.com/assets/9777c1c7847440f3aab15f4488529a61.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Macchiatos,Iced Blonde Cocoa Cloud Macchiato,Blonde Cocoa Cloud Macchiato,Grande,180,172.5,25,https://globalassets.starbucks.com/assets/808f9ef590cb465ebfd24abc7f6c773e.jpg,,,,,,,,,
1,Cold,Cold Coffees,Iced Macchiatos,Iced Caramel Cloud Macchiato,Caramel Cloud Macchiato,Grande,190,175,28,https://globalassets.starbucks.com/assets/9777c1c7847440f3aab15f4488529a61.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Macchiatos,Iced Caramel Macchiato,Caramel Macchiato,Grande,250,177.5,34,https://globalassets.starbucks.com/assets/79bfec31ab7447f691b3c48f39cc7661.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Macchiatos,Iced Cocoa Cloud Macchiato,Cocoa Cloud Macchiato,Grande,200,200,29,https://globalassets.starbucks.com/assets/808f9ef590cb465ebfd24abc7f6c773e.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Mochas,Iced Caffè Mocha,Caffè Mocha,Grande,350,350,30,https://globalassets.starbucks.com/assets/7313a28bd5174ef5bd68f6c1d159797a.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Mochas,Iced White Chocolate Mocha,White Chocolate Mocha,Grande,420,420,49,https://globalassets.starbucks.com/assets/2e2875445811469dac73223e31de6103.jpg,,,,,,,,,
,Cold,Cold Coffees,Iced Mochas,Reserve® Iced Dark Chocolate Mocha,Reserve® Dark Chocolate Mocha,Grande,260,260,28,https://globalassets.starbucks.com/assets/b583bccc3df243698937e2ad21d7be7b.jpg,,,,,,,,,
,Cold,Cold Drinks,Iced Coconutmilk Drinks,Iced Golden Ginger Drink,,Grande,140,140,19,https://globalassets.starbucks.com/assets/074cca40fa854997b56f9801d6239baa.jpg,,,,,,,,,
,Cold,Cold Drinks,Iced Coconutmilk Drinks,Iced Pineapple Matcha Drink,,Grande,170,170,27,https://globalassets.starbucks.com/assets/25fa38cc728040d2808c6e509b6d312e.jpg,,,,,,,,,
,Cold,Cold Drinks,Starbucks Refreshers™,Dragon Drink,,Grande,130,130,23,https://globalassets.starbucks.com/assets/7fe2123728f844849ae4f9ea01473468.jpg,,,,,,,,,
,Cold,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Lemonade Refreshers® ,,Grande,140,132.5,30,https://globalassets.starbucks.com/assets/cde81286f5ac4009ba466d8cd9083eb6.jpg,,,,,,,,,
15,Cold,Cold Drinks,Starbucks Refreshers™,Mango Dragonfruit Refreshers®,,Grande,90,90,19,https://globalassets.starbucks.com/assets/c4f8851c2cb04e3b89f6cea4acae55b2.jpg,,,,,,,,,
36,Cold,Cold Drinks,Starbucks Refreshers™,Pink Drink,,Grande,140,92.5,24,https://globalassets.starbucks.com/assets/3fee4c21a1cb4ad294e32c727aec0cdd.jpg,,,,,,,,,
,Cold,Cold Drinks,Starbucks Refreshers™,Strawberry Açaí Lemonade Refreshers®,,Grande,140,95,32,https://globalassets.starbucks.com/assets/68fa5aa7da804c09899b05172ea53dc1.jpg,,,,,,,,,
37,Cold,Cold Drinks,Starbucks Refreshers™,Strawberry Açaí Refreshers®,,Grande,90,97.5,20,https://globalassets.starbucks.com/assets/17827bf308ad464a9ef8bf4030ca9b72.jpg,1,0,0,0,0,15,23,0,45
,Cold,Cold Drinks,Starbucks Refreshers™,Very Berry Hibiscus Lemonade Refreshers®,,Grande,120,120,25,https://globalassets.starbucks.com/assets/dbef808ef015441c964090543c8ecb3d.jpg,,,,,,,,,
,Cold,Cold Drinks,Starbucks Refreshers™,Very Berry Hibiscus Refreshers™,,Grande,70,70,14,https://globalassets.starbucks.com/assets/03e0fa75324b4d00aeca3b2d865cb830.jpg,,,,,,,,,
,Cold,Cold Drinks,Starbucks Refreshers™,Violet Drink,,Grande,110,110,19,https://globalassets.starbucks.com/assets/cec54d35a8f84706b86c3a2ae839fa7e.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caffè Vanilla Frappuccino®,,Grande,400,400,64,https://globalassets.starbucks.com/assets/ae37d46a04064cae93f307d1b122c8fe.jpg,,,,,,,,,
30,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Frappuccino®,,Grande,370,370,55,https://globalassets.starbucks.com/assets/6ab7d70c4fff435faf090a2f1a6f30d5.jpg,,,,,,,,,
7,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Caramel Ribbon Crunch Frappuccino®,,Grande,470,470,62,https://globalassets.starbucks.com/assets/bdc7fcf962884211ab83918d34f73393.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Coffee Frappuccino®,,Grande,230,230,45,https://globalassets.starbucks.com/assets/2cf55066b3ec4547b452aebffe0870cf.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Espresso Frappuccino®,,Grande,210,210,42,https://globalassets.starbucks.com/assets/e40fe41b68ec42c0a06af692cc4b1c12.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Java Chip Frappuccino®,,Grande,440,440,60,https://globalassets.starbucks.com/assets/87ab7a1c8b7b492cbc1d5c5d44e1007b.jpg,,,,,,,,,
31,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Cookie Crumble Frappuccino®,,Grande,470,442.5,57,https://globalassets.starbucks.com/assets/e4d9e996eb64453eb3ac7adb570c9b7b.jpg,,,,,,,,,
3,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Mocha Frappuccino®,,Grande,370,445,52,https://globalassets.starbucks.com/assets/fd4d97f22e8f476b874352258a3f0672.jpg,,,,,,,,,
6,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,Smoked Butterscotch Frappuccino®,,Grande,420,420,59,https://globalassets.starbucks.com/assets/ec23fe863389403f81e6776528cfdcf3.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Coffee Frappuccino®,White Chocolate Mocha Frappuccino®,,Grande,410,410,62,https://globalassets.starbucks.com/assets/850f847876454a22861e4070170bdb0c.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Caramel Ribbon Crunch Crème Frappuccino®,,Grande,420,412.5,48,https://globalassets.starbucks.com/assets/8877d28f79c04a69ac553c5751e8aa10.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Chai Crème Frappuccino®,,Grande,340,340,46,https://globalassets.starbucks.com/assets/d06af309198949d8be7def2fcdcb8e1b.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Chocolate Cookie Crumble Crème Frappuccino®,,Grande,450,450,48,https://globalassets.starbucks.com/assets/c29e262ae2d6458a976d03733a047b44.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Double Chocolaty Chip Crème Frappuccino®,,Grande,400,452.5,48,https://globalassets.starbucks.com/assets/41daf68bcbf84ee68b7d23e0b820127f.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Matcha Green Tea Crème Frappuccino®,,Grande,410,455,62,https://globalassets.starbucks.com/assets/4de2afd14f3343b6a140c904e1b4a63a.jpg,,,,,,,,,
,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Smoked Butterscotch Crème Frappuccino®,,Grande,380,380,46,https://globalassets.starbucks.com/assets/359a836c0e13467984667d32750eef57.jpg,,,,,,,,,
35,Cold,Frappuccino® Blended Beverages,Creme Frappuccino®,Strawberry Frappuccino®,,Grande,370,382.5,52,https://globalassets.starbucks.com/assets/d878ff7923b54881a4076de8a0269546.jpg,,,,,,,,,
